LOX Dome:  Propane Dome: 91 
time elapsed, loxTankPressure, propTankPressure, loxInjectorPressure, propInjectorPressure, highPressure, loxTreeTemp, loxHeater, boardVoltage, energyConsumed, loxTankTemp, chamberTemp1, chamberTemp2, chamberTemp3
0.24921512603759766,NaN,NaN,101.0,139.0,96.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4866340160369873,NaN,NaN,100.0,138.0,96.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7039299011230469,NaN,NaN,99.0,144.0,97.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8961937427520752,NaN,NaN,99.0,136.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.1132309436798096,8.11,17.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2447168827056885,NaN,NaN,100.0,136.0,97.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5027689933776855,NaN,NaN,100.0,142.0,95.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7608530521392822,NaN,NaN,99.0,140.0,96.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.3666861057281494,NaN,NaN,101.0,140.0,96.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.67022705078125,NaN,NaN,100.0,139.0,96.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.907242774963379,NaN,NaN,98.0,141.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.210709810256958,NaN,NaN,100.0,139.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.4728939533233643,NaN,NaN,102.0,141.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.7306888103485107,NaN,NaN,98.0,142.0,95.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.082959890365601,NaN,NaN,100.0,144.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.320688009262085,NaN,NaN,99.0,133.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.627413749694824,NaN,NaN,101.0,141.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.844882011413574,NaN,NaN,100.0,143.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.082345962524414,NaN,NaN,100.0,138.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.344605922698975,NaN,NaN,101.0,142.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.561237812042236,6.64,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.844343900680542,NaN,NaN,100.0,136.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.106122016906738,NaN,NaN,100.0,143.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.323146104812622,6.15,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.409557104110718,NaN,NaN,101.0,137.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.71677303314209,NaN,NaN,101.0,142.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.933482885360718,4.2,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.08539605140686,-1.66,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.2368998527526855,7.13,21.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.36777400970459,NaN,NaN,100.0,138.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.629590749740601,NaN,NaN,99.0,140.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.826329946517944,NaN,NaN,100.0,141.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.296793937683105,NaN,NaN,100.0,141.0,98.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.493198871612549,NaN,NaN,99.0,139.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.710710763931274,NaN,NaN,100.0,144.0,98.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.058895826339722,NaN,NaN,101.0,141.0,98.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.256274938583374,NaN,NaN,100.0,139.0,95.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.517623901367188,NaN,NaN,100.0,136.0,95.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.865657806396484,NaN,NaN,100.0,136.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.127819061279297,NaN,NaN,100.0,138.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.344712018966675,6.15,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.475882053375244,NaN,NaN,101.0,137.0,98.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.852977991104126,-2.64,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.983928918838501,NaN,NaN,101.0,143.0,96.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.33565878868103,NaN,NaN,101.0,138.0,98.0,0.0,242.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
