LOX Dome:  Propane Dome:  
time elapsed, loxTankPressure, propTankPressure, loxInjectorPressure, propInjectorPressure, highPressure, loxTreeTemp, loxHeater, boardVoltage, energyConsumed, loxTankTemp, chamberTemp1, chamberTemp2, chamberTemp3
0.2235710620880127,8.59,13.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3545079231262207,NaN,NaN,100.0,135.0,96.0,0.0,224.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8050951957702637,NaN,NaN,99.0,136.0,97.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0632381439208984,NaN,NaN,101.0,138.0,96.0,0.0,224.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.3215041160583496,NaN,NaN,99.0,142.0,96.0,0.0,226.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6689159870147705,NaN,NaN,100.0,140.0,97.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8203279972076416,NaN,NaN,101.0,139.0,96.0,0.0,226.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9268841743469238,NaN,NaN,101.0,138.0,96.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.123473882675171,NaN,NaN,101.0,135.0,98.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.340546131134033,9.08,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.426632881164551,NaN,NaN,99.0,135.0,97.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.578097105026245,NaN,NaN,99.0,139.0,97.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.7296969890594482,NaN,NaN,100.0,140.0,97.0,0.0,227.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.9467389583587646,8.11,18.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0327138900756836,NaN,NaN,101.0,139.0,98.0,0.0,226.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.184293031692505,NaN,NaN,100.0,134.0,97.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.401352882385254,8.59,13.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5324411392211914,NaN,NaN,102.0,133.0,96.0,0.0,227.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.6840600967407227,NaN,NaN,100.0,134.0,97.0,0.0,225.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.835516929626465,NaN,NaN,98.0,137.0,97.0,0.0,228.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.093562126159668,NaN,NaN,100.0,134.0,97.0,0.0,227.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.351629972457886,NaN,NaN,99.0,143.0,96.0,0.0,226.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.458066940307617,9.08,8.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.5441179275512695,NaN,NaN,99.0,136.0,96.0,0.0,226.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
